Match,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
88,turntakingA,turntakingC,radicaleqB,radicaleqA,radicaleqC,turntakingB
89,rotate0C,turntakingB,turntakingA,rotate0B,turntakingC,rotate0A
90,equalizeB,turntakingA,equalizeA,turntakingC,turntakingB,equalizeC
91,random3C,random3C,random3B,random3A,random3A,random3B
92,radicaleqC,rotateB,radicaleqB,rotateA,radicaleqA,rotateC
93,random3C,challengerA,random3A,random3B,challengerB,challengerC
94,rotateC,rotate0A,rotate0C,rotateA,rotateB,rotate0B
95,challengerC,challengerA,challengerB,challengerB,challengerC,challengerA
96,turntakingB,randomA,turntakingC,randomB,turntakingA,randomC
97,randomC,equalizeA,equalizeB,equalizeC,randomA,randomB
98,equalizeA,equalizeB,challengerB,challengerC,equalizeC,challengerA
99,equalizeB,equalizeB,equalizeC,equalizeA,equalizeC,equalizeA
100,randomC,randomA,randomA,randomB,randomB,randomC
101,casteC,rotateA,rotateC,casteA,casteB,rotateB
102,equalizeB,equalizeC,equalizeA,equalizeC,equalizeB,equalizeA
103,randomC,random3B,random3A,randomB,random3C,randomA
104,randomA,randomB,randomC,radicaleqB,radicaleqC,radicaleqA
105,casteC,random3C,random3A,random3B,casteA,casteB
106,randomB,randomC,turntakingC,randomA,turntakingB,turntakingA
107,radicaleqB,radicaleqA,randomC,randomB,radicaleqC,randomA
108,equalizeB,equalizeA,random3C,random3B,equalizeC,random3A
109,random3B,random3C,random3A,random3C,random3A,random3B
110,casteC,rotate0B,casteB,casteA,rotate0C,rotate0A
111,radicaleqA,radicaleqB,turntakingB,turntakingC,radicaleqC,turntakingA
112,random3A,random3B,equalizeB,equalizeC,random3C,equalizeA
113,casteB,casteA,rotate0C,rotate0B,casteC,rotate0A
114,randomB,randomC,random3C,randomA,random3B,random3A
115,randomA,randomB,randomC,turntakingB,turntakingC,turntakingA
116,turntakingC,turntakingC,turntakingA,turntakingA,turntakingB,turntakingB
117,turntakingC,turntakingB,turntakingA,radicaleqB,radicaleqC,radicaleqA
118,random3A,random3C,randomB,randomA,randomC,random3B
119,equalizeC,radicaleqA,equalizeA,radicaleqC,radicaleqB,equalizeB
120,equalizeC,turntakingB,equalizeB,turntakingA,equalizeA,turntakingC
121,radicaleqC,challengerB,challengerA,radicaleqB,challengerC,radicaleqA
122,casteB,casteA,randomC,randomB,casteC,randomA
123,radicaleqA,radicaleqC,challengerC,challengerA,challengerB,radicaleqB
124,rotateA,rotateC,random3B,random3A,random3C,rotateB
125,rotateC,turntakingA,turntakingB,turntakingC,rotateA,rotateB
126,random3C,casteB,casteA,random3B,casteC,random3A
127,randomA,randomB,randomA,randomB,randomC,randomC
128,radicaleqC,rotate0A,rotate0C,radicaleqA,radicaleqB,rotate0B
129,radicaleqA,radicaleqB,random3C,radicaleqC,random3A,random3B
130,randomC,randomB,randomB,randomC,randomA,randomA
131,randomB,turntakingA,randomA,turntakingC,turntakingB,randomC
132,rotateC,rotateB,rotateC,rotateB,rotateA,rotateA
133,rotateB,rotateA,radicaleqC,radicaleqB,rotateC,radicaleqA
134,radicaleqC,equalizeB,radicaleqB,equalizeA,radicaleqA,equalizeC
135,rotateB,rotateC,turntakingC,rotateA,turntakingB,turntakingA
136,random3B,random3C,random3C,random3B,random3A,random3A
137,radicaleqA,radicaleqB,casteB,casteC,radicaleqC,casteA
138,random3C,rotate0C,rotate0A,rotate0B,random3A,random3B
139,randomC,rotateA,rotateB,rotateC,randomA,randomB
140,radicaleqC,equalizeB,equalizeA,radicaleqB,equalizeC,radicaleqA
141,equalizeC,radicaleqC,radicaleqA,radicaleqB,equalizeA,equalizeB
142,turntakingC,turntakingB,turntakingA,turntakingA,turntakingB,turntakingC
143,random3A,random3B,random3B,random3A,random3C,random3C
144,casteB,casteA,rotateC,rotateB,casteC,rotateA
145,casteC,equalizeA,equalizeC,casteA,casteB,equalizeB
146,random3B,random3C,equalizeC,random3A,equalizeB,equalizeA
147,equalizeC,equalizeB,equalizeA,random3B,random3C,random3A
148,casteA,casteC,casteC,casteB,casteA,casteB
149,challengerA,challengerB,random3C,challengerC,random3A,random3B
150,random3B,radicaleqA,radicaleqC,random3A,random3C,radicaleqB
151,casteA,casteC,random3B,random3A,random3C,casteB
152,turntakingB,challengerA,turntakingA,challengerC,challengerB,turntakingC
153,radicaleqC,radicaleqA,radicaleqA,radicaleqB,radicaleqB,radicaleqC
154,challengerB,challengerA,equalizeC,equalizeB,challengerC,equalizeA
155,turntakingB,rotateA,turntakingC,rotateB,turntakingA,rotateC
156,challengerA,challengerC,equalizeB,equalizeA,equalizeC,challengerB
157,challengerA,challengerB,challengerB,challengerC,challengerA,challengerC
158,radicaleqC,randomC,randomA,randomB,radicaleqA,radicaleqB
159,radicaleqA,radicaleqB,radicaleqC,rotateB,rotateC,rotateA
160,turntakingB,turntakingA,rotate0C,rotate0B,turntakingC,rotate0A
161,challengerB,challengerA,randomC,randomB,challengerC,randomA
162,random3A,random3B,randomC,random3C,randomA,randomB
163,casteC,equalizeB,casteB,casteA,equalizeC,equalizeA
164,random3C,random3A,random3C,random3A,random3B,random3B
165,equalizeB,equalizeC,challengerC,equalizeA,challengerB,challengerA
166,rotateA,rotateB,rotateA,rotateB,rotateC,rotateC
167,challengerB,challengerC,challengerC,challengerA,challengerB,challengerA
168,challengerC,equalizeC,equalizeA,equalizeB,challengerA,challengerB
169,casteA,rotate0C,rotate0B,casteB,rotate0A,casteC
170,challengerB,challengerA,rotate0C,rotate0B,challengerC,rotate0A
171,rotateA,rotateB,rotateC,rotateC,rotateA,rotateB
172,radicaleqB,randomA,radicaleqC,randomB,radicaleqA,randomC
173,casteA,equalizeC,equalizeB,casteB,equalizeA,casteC
174,casteC,rotateA,casteA,rotateC,rotateB,casteB
175,rotate0B,rotate0C,rotateC,rotate0A,rotateB,rotateA
176,randomC,equalizeB,equalizeA,randomB,equalizeC,randomA
177,casteC,casteB,casteB,casteC,casteA,casteA
178,rotate0C,rotate0A,rotate0B,rotate0B,rotate0C,rotate0A
179,turntakingC,turntakingB,turntakingA,casteB,casteC,casteA
180,randomC,radicaleqB,randomB,radicaleqA,randomA,radicaleqC
181,radicaleqB,radicaleqA,rotate0C,rotate0B,radicaleqC,rotate0A
182,randomA,randomC,rotateC,rotateA,rotateB,randomB
183,equalizeA,equalizeB,random3C,equalizeC,random3A,random3B
184,rotateC,rotate0C,rotate0A,rotate0B,rotateA,rotateB
185,rotateC,random3B,rotateB,rotateA,random3C,random3A
186,rotate0A,rotate0B,rotate0C,randomB,randomC,randomA
187,challengerC,rotateB,challengerB,challengerA,rotateC,rotateA
188,radicaleqC,equalizeA,radicaleqA,radicaleqB,equalizeB,equalizeC
189,equalizeA,equalizeB,randomC,equalizeC,randomA,randomB
190,rotateA,rotateC,randomB,randomA,randomC,rotateB
191,challengerC,casteB,challengerB,challengerA,casteC,casteA
192,rotateA,rotateC,radicaleqB,radicaleqA,radicaleqC,rotateB
193,rotate0B,radicaleqA,rotate0A,radicaleqC,radicaleqB,rotate0C
194,rotate0B,turntakingA,rotate0A,turntakingC,turntakingB,rotate0C
195,turntakingC,radicaleqA,turntakingA,radicaleqC,radicaleqB,turntakingB
196,casteA,casteC,casteB,casteC,casteA,casteB
197,rotateA,rotate0C,rotate0B,rotateB,rotate0A,rotateC
198,rotateB,rotateA,random3C,random3B,rotateC,random3A
199,rotate0C,random3B,random3A,rotate0B,random3C,rotate0A
200,rotateC,equalizeB,rotateB,rotateA,equalizeC,equalizeA
201,radicaleqB,casteA,casteC,radicaleqA,radicaleqC,casteB
202,casteB,casteA,random3C,random3B,casteC,random3A
203,random3C,random3B,random3A,random3C,random3B,random3A
204,equalizeC,random3B,equalizeB,equalizeA,random3C,random3A
205,radicaleqB,radicaleqC,radicaleqA,radicaleqA,radicaleqB,radicaleqC
206,challengerC,radicaleqB,challengerB,challengerA,radicaleqC,radicaleqA
207,challengerA,casteC,casteB,challengerB,casteA,challengerC
208,randomC,challengerB,challengerA,randomB,challengerC,randomA
209,rotateB,casteA,casteC,rotateA,rotateC,casteB
210,random3C,rotateA,rotateB,rotateC,random3A,random3B
211,radicaleqA,radicaleqB,rotateB,rotateC,radicaleqC,rotateA
212,casteC,equalizeC,equalizeA,equalizeB,casteA,casteB
213,radicaleqC,casteB,radicaleqB,casteA,radicaleqA,casteC
214,equalizeA,equalizeC,turntakingC,turntakingA,turntakingB,equalizeB
215,random3B,random3A,random3A,random3B,random3C,random3C
216,rotate0C,equalizeB,equalizeA,rotate0B,equalizeC,rotate0A
217,rotate0B,rotateA,rotateC,rotate0A,rotate0C,rotateB
218,rotate0C,casteB,casteA,rotate0B,casteC,rotate0A
219,turntakingB,turntakingC,turntakingB,turntakingA,turntakingC,turntakingA
220,turntakingC,turntakingA,turntakingC,turntakingB,turntakingA,turntakingB
221,turntakingA,turntakingC,turntakingA,turntakingB,turntakingC,turntakingB
222,casteA,casteC,turntakingC,turntakingA,turntakingB,casteB
223,rotate0B,equalizeA,equalizeC,rotate0A,rotate0C,equalizeB
224,rotateB,rotateC,rotateB,rotateA,rotateA,rotateC
225,radicaleqB,turntakingA,turntakingC,radicaleqA,radicaleqC,turntakingB
226,random3C,random3B,random3A,random3A,random3B,random3C
227,challengerB,random3A,challengerC,random3B,challengerA,random3C
228,turntakingA,turntakingB,equalizeC,turntakingC,equalizeA,equalizeB
229,equalizeA,equalizeB,equalizeC,casteB,casteC,casteA
230,rotate0C,randomA,rotate0A,rotate0B,randomB,randomC
231,challengerA,challengerB,rotateC,challengerC,rotateA,rotateB
232,equalizeA,equalizeB,equalizeC,equalizeA,equalizeC,equalizeB
233,rotateC,rotate0B,rotateB,rotateA,rotate0C,rotate0A
234,rotate0A,rotate0C,rotateC,rotateA,rotateB,rotate0B
235,radicaleqB,radicaleqB,radicaleqC,radicaleqC,radicaleqA,radicaleqA
236,equalizeC,rotate0B,equalizeB,equalizeA,rotate0C,rotate0A
237,rotate0B,equalizeA,rotate0A,equalizeC,equalizeB,rotate0C
238,rotate0A,rotate0B,rotate0C,turntakingB,turntakingC,turntakingA
239,rotateA,rotateC,rotateA,rotateB,rotateB,rotateC
240,radicaleqC,random3A,random3C,radicaleqA,radicaleqB,random3B
241,casteC,rotateB,casteB,casteA,rotateC,rotateA
242,rotateB,rotateA,rotateA,rotateC,rotateB,rotateC
243,rotate0B,rotate0C,casteC,rotate0A,casteB,casteA
244,turntakingA,turntakingC,equalizeB,equalizeA,equalizeC,turntakingB
245,casteA,casteB,casteA,casteC,casteB,casteC
246,rotate0A,rotate0B,rotate0B,rotate0C,rotate0A,rotate0C
247,equalizeA,equalizeC,random3B,random3A,random3C,equalizeB
248,radicaleqA,radicaleqB,rotate0C,radicaleqC,rotate0A,rotate0B
249,equalizeB,equalizeC,equalizeA,equalizeA,equalizeB,equalizeC
250,equalizeA,radicaleqC,radicaleqB,equalizeB,radicaleqA,equalizeC
251,challengerC,rotate0B,challengerB,challengerA,rotate0C,rotate0A
252,challengerB,rotate0A,challengerC,rotate0B,challengerA,rotate0C
253,challengerA,challengerB,challengerC,challengerA,challengerC,challengerB
254,randomA,randomB,randomB,randomC,randomC,randomA
255,turntakingB,turntakingC,turntakingC,turntakingA,turntakingA,turntakingB
256,radicaleqB,turntakingA,radicaleqA,turntakingC,turntakingB,radicaleqC
257,equalizeC,equalizeB,equalizeA,radicaleqB,radicaleqC,radicaleqA
258,rotate0A,rotate0B,rotate0C,equalizeB,equalizeC,equalizeA
259,randomC,random3A,random3B,random3C,randomA,randomB
260,equalizeB,challengerA,equalizeA,challengerC,challengerB,equalizeC
261,rotate0A,rotate0B,rotateB,rotateC,rotate0C,rotateA
262,challengerC,rotateC,rotateA,rotateB,challengerA,challengerB
263,equalizeB,equalizeA,radicaleqC,radicaleqB,equalizeC,radicaleqA
264,equalizeC,random3A,equalizeA,random3C,random3B,equalizeB
265,challengerA,equalizeC,equalizeB,challengerB,equalizeA,challengerC
266,casteA,casteB,randomC,casteC,randomA,randomB
267,rotateA,rotateA,rotateC,rotateB,rotateC,rotateB
268,radicaleqA,radicaleqB,equalizeB,equalizeC,radicaleqC,equalizeA
269,random3C,rotate0A,random3A,rotate0C,rotate0B,random3B
270,casteC,equalizeA,casteA,equalizeC,equalizeB,casteB
271,turntakingC,challengerB,challengerA,turntakingB,challengerC,turntakingA
272,random3A,random3C,rotate0B,rotate0A,rotate0C,random3B
273,turntakingC,randomA,randomC,turntakingA,turntakingB,randomB
274,challengerA,challengerC,turntakingB,turntakingA,turntakingC,challengerB
275,rotateB,rotateC,rotateA,rotateC,rotateA,rotateB
276,rotateC,challengerB,challengerA,rotateB,challengerC,rotateA
277,rotate0A,rotate0B,rotate0C,rotate0B,rotate0C,rotate0A
278,random3A,random3B,random3C,turntakingB,turntakingC,turntakingA
279,casteC,casteB,casteA,casteB,casteA,casteC
280,equalizeC,challengerA,equalizeA,equalizeB,challengerB,challengerC
281,challengerA,challengerC,casteB,casteA,casteC,challengerB
282,turntakingC,turntakingA,turntakingB,turntakingC,turntakingB,turntakingA
283,randomA,randomC,casteC,casteA,casteB,randomB
284,rotate0A,rotate0B,randomB,randomC,rotate0C,randomA
285,casteB,rotateA,casteC,rotateB,casteA,rotateC
286,rotateB,rotateC,challengerC,rotateA,challengerB,challengerA
287,rotate0C,rotate0A,rotate0A,rotate0B,rotate0C,rotate0B
288,turntakingC,rotateA,turntakingA,rotateC,rotateB,turntakingB
289,turntakingA,turntakingB,turntakingC,turntakingC,turntakingB,turntakingA
290,challengerB,radicaleqA,challengerC,radicaleqB,challengerA,radicaleqC
291,rotateC,casteA,casteB,casteC,rotateA,rotateB
292,randomB,challengerA,randomA,challengerC,challengerB,randomC
293,turntakingB,casteA,turntakingC,casteB,turntakingA,casteC
294,turntakingA,turntakingB,random3C,turntakingC,random3A,random3B
295,challengerA,rotateC,rotateB,challengerB,rotateA,challengerC
296,rotate0A,rotate0C,random3C,random3A,random3B,rotate0B
297,turntakingC,rotateC,rotateA,rotateB,turntakingA,turntakingB
298,random3C,radicaleqA,radicaleqB,radicaleqC,random3A,random3B
299,randomA,randomB,rotate0C,randomC,rotate0A,rotate0B
300,equalizeB,equalizeA,equalizeB,equalizeC,equalizeA,equalizeC
301,turntakingC,rotate0A,rotate0C,turntakingA,turntakingB,rotate0B
302,casteC,turntakingA,turntakingB,turntakingC,casteA,casteB
303,radicaleqC,turntakingB,radicaleqB,turntakingA,radicaleqA,turntakingC
304,radicaleqA,radicaleqC,rotateC,rotateA,rotateB,radicaleqB
305,challengerB,challengerA,rotateC,rotateB,challengerC,rotateA
306,turntakingB,random3A,turntakingC,random3B,turntakingA,random3C
307,equalizeC,challengerB,challengerA,equalizeB,challengerC,equalizeA
308,radicaleqA,random3C,random3B,radicaleqB,random3A,radicaleqC
309,equalizeC,random3C,random3A,random3B,equalizeA,equalizeB
310,radicaleqA,randomC,randomB,radicaleqB,randomA,radicaleqC
311,randomC,casteB,casteA,randomB,casteC,randomA
312,rotate0A,rotate0B,rotate0C,rotateB,rotateC,rotateA
313,turntakingC,random3C,random3A,random3B,turntakingA,turntakingB
314,challengerA,random3C,random3B,challengerB,random3A,challengerC
315,random3A,random3C,casteC,casteA,casteB,random3B
316,rotate0B,rotate0C,challengerC,rotate0A,challengerB,challengerA
317,radicaleqA,radicaleqB,radicaleqC,equalizeB,equalizeC,equalizeA
318,challengerA,challengerB,turntakingC,challengerC,turntakingA,turntakingB
319,rotate0B,challengerA,challengerC,rotate0A,rotate0C,challengerB
320,turntakingB,turntakingA,random3C,random3B,turntakingC,random3A
321,casteC,casteC,casteB,casteA,casteB,casteA
322,casteA,random3C,random3B,casteB,random3A,casteC
323,equalizeB,equalizeA,equalizeB,equalizeA,equalizeC,equalizeC
324,randomC,turntakingA,turntakingB,turntakingC,randomA,randomB
325,radicaleqC,randomA,randomC,radicaleqA,radicaleqB,randomB
326,turntakingB,turntakingA,rotateC,rotateB,turntakingC,rotateA
327,turntakingA,turntakingA,turntakingB,turntakingC,turntakingC,turntakingB
328,equalizeA,equalizeB,equalizeB,equalizeC,equalizeA,equalizeC
329,challengerC,turntakingC,turntakingA,turntakingB,challengerA,challengerB
330,challengerA,challengerB,rotate0C,challengerC,rotate0A,rotate0B
331,casteC,turntakingA,casteA,casteB,turntakingB,turntakingC
332,challengerC,challengerB,challengerA,rotateB,rotateC,rotateA
333,turntakingA,turntakingC,random3B,random3A,random3C,turntakingB
334,random3C,casteA,random3A,random3B,casteB,casteC
335,rotate0B,rotate0C,radicaleqC,rotate0A,radicaleqB,radicaleqA
336,casteA,casteC,radicaleqB,radicaleqA,radicaleqC,casteB
337,equalizeA,equalizeB,rotate0C,equalizeC,rotate0A,rotate0B
338,randomA,randomC,equalizeC,equalizeA,equalizeB,randomB
339,radicaleqC,casteB,casteA,radicaleqB,casteC,radicaleqA
340,randomB,randomC,rotateC,randomA,rotateB,rotateA
341,rotateC,equalizeA,rotateA,equalizeC,equalizeB,rotateB
342,radicaleqA,radicaleqC,randomB,randomA,randomC,radicaleqB
343,randomA,randomC,rotate0B,rotate0A,rotate0C,randomB
344,randomA,randomB,randomC,random3B,random3C,random3A
345,rotate0C,random3A,random3B,random3C,rotate0A,rotate0B
346,random3A,rotate0C,rotate0B,random3B,rotate0A,random3C
347,rotateB,radicaleqA,rotateC,radicaleqB,rotateA,radicaleqC
348,rotateA,rotateB,challengerB,challengerC,rotateC,challengerA
349,challengerB,challengerA,radicaleqC,radicaleqB,challengerC,radicaleqA
350,challengerC,challengerB,challengerA,rotate0B,rotate0C,rotate0A
351,challengerC,challengerB,challengerA,radicaleqB,radicaleqC,radicaleqA
352,equalizeC,equalizeB,equalizeA,rotate0B,rotate0C,rotate0A
353,randomC,equalizeB,randomB,equalizeA,randomA,equalizeC
354,challengerA,challengerB,challengerA,challengerB,challengerC,challengerC
355,challengerA,challengerB,challengerA,challengerC,challengerC,challengerB
356,random3B,random3A,randomC,randomB,random3C,randomA
357,casteC,turntakingB,casteB,turntakingA,casteA,turntakingC
358,radicaleqC,challengerA,challengerB,challengerC,radicaleqA,radicaleqB
359,equalizeC,turntakingB,turntakingA,equalizeB,turntakingC,equalizeA
360,randomB,casteA,casteC,randomA,randomC,casteB
361,randomC,rotateB,randomB,rotateA,randomA,rotateC
362,randomC,rotate0C,rotate0A,rotate0B,randomA,randomB
363,randomC,turntakingB,turntakingA,randomB,turntakingC,randomA
364,rotate0A,rotate0B,equalizeB,equalizeC,rotate0C,equalizeA
365,rotate0A,rotate0B,rotate0B,rotate0C,rotate0A,rotate0C
366,challengerC,challengerB,challengerA,equalizeB,equalizeC,equalizeA
367,radicaleqC,casteA,radicaleqA,radicaleqB,casteB,casteC
368,random3B,random3A,rotate0C,rotate0B,random3C,rotate0A
369,casteC,radicaleqA,casteA,radicaleqC,radicaleqB,casteB
370,rotate0C,equalizeA,equalizeB,equalizeC,rotate0A,rotate0B
371,radicaleqB,radicaleqC,equalizeC,radicaleqA,equalizeB,equalizeA
372,challengerA,challengerC,random3B,random3A,random3C,challengerB
373,randomB,radicaleqA,randomA,radicaleqC,radicaleqB,randomC
374,casteA,casteC,rotateB,rotateA,rotateC,casteB
375,turntakingA,turntakingC,challengerC,challengerA,challengerB,turntakingB
376,radicaleqC,randomA,radicaleqA,randomC,randomB,radicaleqB
377,random3B,random3C,radicaleqC,random3A,radicaleqB,radicaleqA
378,rotate0B,randomA,rotate0A,randomC,randomB,rotate0C
379,equalizeB,rotate0A,equalizeC,rotate0B,equalizeA,rotate0C
380,equalizeC,randomA,randomC,equalizeA,equalizeB,randomB
381,rotateB,rotateC,rotateC,rotateA,rotateB,rotateA
382,random3C,radicaleqB,radicaleqA,random3B,radicaleqC,random3A
383,randomA,randomB,randomC,casteB,casteC,casteA
384,radicaleqC,rotateA,rotateB,rotateC,radicaleqA,radicaleqB
385,casteC,random3B,casteB,casteA,random3C,random3A
386,turntakingC,radicaleqB,turntakingB,turntakingA,radicaleqC,radicaleqA
387,challengerA,challengerC,rotate0B,rotate0A,rotate0C,challengerB
388,turntakingA,radicaleqC,radicaleqB,turntakingB,radicaleqA,turntakingC
389,turntakingB,turntakingC,turntakingC,turntakingB,turntakingA,turntakingA
390,randomA,randomB,radicaleqB,radicaleqC,randomC,radicaleqA
391,casteB,rotate0A,casteC,rotate0B,casteA,rotate0C
392,rotateB,rotateC,casteC,rotateA,casteB,casteA
393,randomA,randomB,challengerB,challengerC,randomC,challengerA
394,turntakingB,turntakingC,turntakingA,turntakingC,turntakingB,turntakingA
395,random3C,challengerB,random3B,challengerA,random3A,challengerC
396,radicaleqC,rotate0A,radicaleqA,rotate0C,rotate0B,radicaleqB
397,random3A,random3B,radicaleqB,radicaleqC,random3C,radicaleqA
398,casteB,casteC,casteA,casteB,casteA,casteC
399,randomB,equalizeA,equalizeC,randomA,randomC,equalizeB
400,rotate0A,rotate0B,casteB,casteC,rotate0C,casteA
401,challengerC,equalizeA,equalizeC,challengerA,challengerB,equalizeB
402,randomC,random3A,randomA,randomB,random3B,random3C
403,challengerA,challengerC,rotateB,rotateA,rotateC,challengerB
404,randomC,randomA,randomA,randomC,randomB,randomB
405,rotateC,random3C,random3A,random3B,rotateA,rotateB
406,radicaleqA,radicaleqA,radicaleqB,radicaleqC,radicaleqB,radicaleqC
407,rotate0A,rotate0B,turntakingB,turntakingC,rotate0C,turntakingA
408,random3A,random3C,challengerC,challengerA,challengerB,random3B
409,turntakingB,rotate0A,turntakingC,rotate0B,turntakingA,rotate0C
410,turntakingA,turntakingB,casteC,turntakingC,casteA,casteB
411,turntakingC,equalizeA,turntakingA,equalizeC,equalizeB,turntakingB
412,randomB,radicaleqA,radicaleqC,randomA,randomC,radicaleqB
413,randomC,challengerA,challengerB,challengerC,randomA,randomB
414,equalizeC,randomA,equalizeA,randomC,randomB,equalizeB
415,turntakingA,turntakingB,turntakingB,turntakingC,turntakingC,turntakingA
416,rotateC,radicaleqA,radicaleqC,rotateA,rotateB,radicaleqB
